Qty,Parts,Value,Can Substitute,Do not populate (DNP),Device,Package,Description,DESCRIPTION,DIGIKEY,MANUFACTURER,MPN,MOUSER,Notes
3,TAIYO-YUDEN-AH086M,TAIYO-YUDEN-AH086M,N,,TAIYO-YUDEN-AH086M,"A1,A2,A3",UWB Antenna - 3.1-8GHz,RF ANT 3.5GHZ/5.6GHZ CHIP SLD,587-2204-1-ND,Taiyo Yuden,AH086M555003-T,,
1,ANT3216A063R2400A,ANT3216A063R2400A,N,,ANT3216A063R2400A,A4,Yageo 2.4GHz,RF ANT 2.4GHZ CHIP SOLDER SMD,311-1542-1-ND,Yageo,ANT3216A063R2400A,,
2,1pF,CAPACITOR0402_CAP,Y,,0402_CAP,"C1,C2",SMD Capacitor,CAP CER 1PF 50V C0G/NP0 0402,712-1266-1-ND,Johanson Technology Inc.,500R07S1R0BV4T,,
1,1.2pF,CAPACITOR0402_CAP,Y,,0402_CAP,C3,SMD Capacitor,CAP CER 1.2PF 50V C0G/NP0 0402,490-3085-1-ND,Murata Electronics North America,GJM1555C1H1R2CB01D,,
2,10pF,CAPACITOR0402_CAP,Y,,0402_CAP,"C4,C5",SMD Capacitor,CAP CER 10PF 100V C0G/NP0 0402,732-12054-1-ND,Wurth Electronics Inc.,885012005074,,
2,12pF,CAPACITOR0201_CAP,N,,0201_CAP,"C6,C7",SMD Capacitor,CAP CER 12PF 25V C0G/NP0 0201,712-1208-1-ND,Johanson Technology Inc.,250R05L120GV4T,,
8,12pF,CAPACITOR0402_CAP,Y,,0402_CAP,"C8,C9,C10,C11,C12,C13,C14,C15",SMD Capacitor,CAP CER 12PF 50V C0G/NP0 0402,490-11190-1-ND,Murata Electronics North America,GJM1555C1H120FB01D,,
1,18pF,CAPACITOR0402_CAP,Y,,0402_CAP,C16,SMD Capacitor,CAP CER 18PF 50V C0G/NP0 0402,490-14582-1-ND,Murata Electronics North America,GRM1555C1H180JA01J,,
1,27pF,CAPACITOR0402_CAP,Y,,0402_CAP,C17,SMD Capacitor,CAP CER 27PF 50V C0G/NP0 0402,1276-1153-1-ND,Samsung Electro-Mechanics,CL05C270JB5NNNC,,
1,100pF,CAPACITOR0402_CAP,Y,,0402_CAP,C18,SMD Capacitor,CAP CER SMD 0402 100PF 5% X7R 50,399-17545-1-ND,KEMET,C0402C101J5RACAUTO,,
2,330pF,CAPACITOR0402_CAP,Y,,0402_CAP,"C19,C20",SMD Capacitor,CAP CER 330PF 50V X7R 0402,311-3768-1-ND,Yageo,CC0402JRX7R9BB331,,
2,820pF,CAPACITOR0402_CAP,Y,,0402_CAP,"C21,C22",SMD Capacitor,MLCC 1005(0402) C0G 820PF 5% 50V,1276-6989-1-ND,Samsung Electro-Mechanics,CL05C821JB5NFNC,,
3,10nF,CAPACITOR0402_CAP,Y,,0402_CAP,"C23,C24,C25",SMD Capacitor,CAP CER 10000PF 25V X7R 0402,399-1279-1-ND,KEMET,C0402C103J3RACTU,,
