"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY";"IR";"MANUFACTURER";"MF";"MFN";"MOUSER";"MPN";"PACKAGE";"PACKAGING";"PART-NUMBER";"POPULARITY";"QTY";"SOURCELIBRARY";"TP_SIGNAL_NAME";"VENDOR";"VR";
"1";"";"450404015514";"450404015514";"S1";"WS-SLSU Mini Slide Switch, Same Side Connection Side Push 6.7x2.7 mm";"";"";"";"https://www.we-online.com/catalog/datasheet/450404015514.pdf";"";"732-13665-1-ND";"300mA";"";"";"";"";"";"";"Tape and Reel ";"450404015514";"";" 150 ";"";"";"";"5V(DC)";
"1";"";"MS518SE";"MS518SE-FL35E";"B1";"A small, low leakage rechargeable battery for RTC backup";"";"";"";"";"";"728-1054-ND";"";"Seiko";"";"";"";"MS518SE-FL35E";"";"";"";"";"";"";"";"";"";
"3";"";"PINHD-1X1";"1X01";"J6, J7, J8";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"10";"0.1uF";"CAPACITOR0402_CAP";"0402_CAP";"C38, C39, C40, C41, C63, C64, C65, C66, C67, C68";"SMD Capacitor";"";"";"";"";"";"490-6328-1-ND";"";"";"";"";"";"GRM155R71C104KA88J ";"";"";"";"";"";"";"";"";"";
"22";"0.1uF";"CAPACITOR0402_CAP";"0402_CAP";"C37, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62";"SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.5pF";"CAPACITOR0402_CAP";"0402_CAP";"C1";"SMD Capacitor";"";"";"";"";"";"490-11250-1-ND";"";"";"";"";"";"GJM1555C1HR50WB01D";"";"";"";"";"";"";"";"";"";
"1";"0.8pF";"CAPACITOR0402_CAP";"0402_CAP";"C2";"SMD Capacitor";"";"";"";"";"";"490-11253-1-ND";"";"";"";"";"";"GJM1555C1HR80WB01D";"";"";"";"";"";"";"";"";"";
"1";"1.2pF";"CAPACITOR0402_CAP";"0402_CAP";"C3";"SMD Capacitor";"";"";"";"";"";"490-3085-1-ND";"";"";"";"";"";"GJM1555C1H1R2CB01D";"";"";"";"";"";"";"";"";"";
"1";"1.41k";"RESISTOR0402_RES";"0402_RES";"R16";"Resistor";"";"";"";"";"";"RMCF0402FT1K40CT-ND";"";"";"";"";"";"RMCF0402FT1K40";"";"";"";"";"";"";"";"";"";
"1";"1.8V";"XCL206B";"XCL20X";"U4";"Non-Isolated PoL Module DC DC Converter 1 Output 1.8V 600mA 2V - 6V Input";"";"";"";"";"";"893-1406-2-ND";"";"";"";"";"";"XCL206B183CR-G";"";"";"";"";"";"";"";"";"";
"7";"100k";"RESISTOR0402_RES";"0402_RES";"R30, R31, R32, R33, R34, R35, R36";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100pF";"CAPACITOR0402_CAP";"0402_CAP";"C19";"SMD Capacitor";"";"";"";"";"";"490-5922-1-ND";"";"";"";"";"";"GRM1555C1H101JA01D ";"";"";"";"";"";"";"";"";"";
