Qty,Value,Device,Package,Parts,Description,DIGIKEY,MANUFACTURER,MPN
3,ACR0301U,ACR0301U,ACR0301U,"A1, A2, A3",,,Abracon,ACR0301U
1,AMCA72-2R47G-S1F-T,AMCA72-2R47G-S1F-T,AMCA72-2R470G-S1F-T,A4,RF ANT 2.4GHZ CHIP SOLDER SMD,535-14108-1-ND,,AMCA72-2R470G-S1F-T4
1,0.5pF,CAPACITOR0402_CAP,0402_CAP,C1,SMD Capacitor,,,GJM1555C1HR50WB01D
1,0.8pF,CAPACITOR0402_CAP,0402_CAP,C2,SMD Capacitor,,,GJM1555C1HR80WB01D
1,2pF,CAPACITOR0201_CAP,0201_CAP,C3,SMD Capacitor,,,CBR02C209A5GAC
4,4pF,CAPACITOR0201_CAP,0201_CAP,"C4, C5, C6, C7",SMD Capacitor,,Murata,GRM0335C1H4R0BA01D
2,6pF,CAPACITOR0201_CAP,0201_CAP,"C8, C9",SMD Capacitor,,Murata,GRM0335C1H6R0BA01D
2,12pF,CAPACITOR0402_CAP,0402_CAP,"C10, C11",SMD Capacitor,399-8815-2-ND,,CBR04C120F5GAC
2,22pF,CAPACITOR0201_CAP,0201_CAP,"C12, C13",SMD Capacitor,,,GRM0335C1H220FA01D
2,470pF,CAPACITOR0402_CAP,0402_CAP,"C14, C15",SMD Capacitor,490-6242-1-ND,Murata,GRM1555C1H471JA01J
3,4.7nF,CAPACITOR0402_CAP,0402_CAP,"C16, C17, C18",SMD Capacitor,,,C0402C472K3RACTU
2,10nF,CAPACITOR0402_CAP,0402_CAP,"C19, C20",SMD Capacitor,490-6351-2-ND,,GRM155R71H103KA88J
3,22nF,CAPACITOR0402_CAP,0402_CAP,"C21, C22, C23",SMD Capacitor,490-10699-2-ND,,GRM155R71E223JA61D
2,22nF,CAPACITOR0402_CAP,0402_CAP,"C24, C25",SMD Capacitor,311-3823-1-ND,,CC0402ZRY5V8BB223
1,0.1uF,CAPACITOR0201_CAP,0201_CAP,C26,SMD Capacitor,,,CL05A104KP5NNNC
4,0.1uF,CAPACITOR0402_CAP,0402_CAP,"C27, C28, C29, C30",SMD Capacitor,490-6328-1-ND,,GRM155R71C104KA88J 
9,0.1uF,CAPACITOR0402_CAP,0402_CAP,"C31, C32, C33, C34, C35, C36, C37, C38, C39",SMD Capacitor,,,CL05A104KP5NNNC
2,0.22uF,CAPACITOR0402_CAP,0402_CAP,"C40, C41",SMD Capacitor,,,CL05A224KP5NNNC
2,0.47uF,CAPACITOR0402_CAP,0402_CAP,"C42, C43",SMD Capacitor,490-12270-1-ND,,GRT155R61E474ME01D
8,1uF,CAPACITOR0201_CAP,0201_CAP,"C44, C45, C46, C47, C48, C52, C53, C74",SMD Capacitor,,Murata,GRM033R61A105ME44D
3,1uF,CAPACITOR0402_CAP,0402_CAP,"C49, C50, C51",SMD Capacitor,,,GRM155R70J105KA12J
6,2.2uF,CAPACITOR0201_CAP,0201_CAP,"C54, C55, C56, C57, C58, C59",SMD Capacitor,,Murata,GRM033R61A225KE47D
3,4.7uF,CAPACITOR0402_CAP,0402_CAP,"C60, C67, C68",SMD Capacitor,,,CL05A475MP5NRNC
6,4.7uF,CAPACITOR0805_CAP,0805_CAP,"C61, C62, C63, C64, C65, C66",SMD Capacitor,,Taiyo Yuden,JMK212ABJ475MGHT
5,10uF,CAPACITOR0603_CAP,0603_CAP,"C69, C70, C71, C72, C73",SMD Capacitor,1253-CM105X5R106M25ATCT-ND,,CM105X5R106M25AT
1,BICOLOR-SMD,BICOLOR-SMD,LED-0606,D1,,,,MCL0606FRD1GR1T
1,BICOLOR-SMD,BICOLOR-SMD,LED-0606,D2,,,,MCL0606FYW1RD1T
1,GREEN,LED0603,LED-0603,D3,LED (Generic),160-1446-1-ND,,LTST-C191KGKT
1,DIODE0402,DIODE0402,0402_DIODE,D4,,641-2087-1-ND,,CDSQR400B-HF
1,BLM03PG330SN1D,FERRITE_BEAD0201,0201_FB,FB1,,,Murata,BLM03PG330SN1D
DNP,FIDUCIAL1X2,FIDUCIAL1X2,FIDUCIAL-1X2,"FD1, FD2, FD3",Fiducial Alignment Points,,,
1,USB4110-GF-A,USB4110-GF-A,GCT_USB4110-GF-A,J1," USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle", Through Hole ,,USB4110-GF-A
DNP,TC2030-JLINK-NL-2SIDE,TC2030-JLINK-NL-2SIDE,TC2030-IDC-NL-2SIDE,"J2, J3",,,,
1,MOLEX-PICO-SPOX-3SIDE,MOLEX-PICO-SPOX-3SIDE,MOLEX-PICO-SPOX-3_SIDE,J4,MOLEX,WM7647CT-ND,,
DNP,JUMPER-SMT_2_NC_TRACE_SILK,JUMPER-SMT_2_NC_TRACE_SILK,SMT-JUMPER_2_NC_TRACE_SILK,"JP1, JP7",Normally closed trace jumper,,,
DNP,JUMPER-SMT_3_1-NC_TRACE_SILK,JUMPER-SMT_3_1-NC_TRACE_SILK,SMT-JUMPER_3_1-NC_TRACE_SILK,"JP2, JP3, JP4, JP5, JP8",Normally closed trace jumper (1 of 2 connections),,,
DNP,JUMPER-SMT_2_NO_SILK,JUMPER-SMT_2_NO_SILK,SMT-JUMPER_2_NO_SILK,JP6,Normally open jumper,,,
DNP,,PINHD-1X2,1X02,JP9,PIN HEADER,,,
1,2.2µH,INDUCTOR0805,0805_CAP,L1,A very specific inductor,,Murata,DFE201210U-2R2M=P2
1,1.0µH,INDUCTOR0603,0603_CAP,L2,A very specific inductor,,Murata,DFE18SAN1R0ME0L
1,4.7nH,INDUCTOR0402,0402_CAP,L3,A very specific inductor,,,LQW15AN4N7G8ZD
1,WURTH_COIL_760308103204,WURTH_COIL_760308103204,WURTH_COIL_760308103204,L4,,732-5258-ND,Würth Elektronik,7.60308E+11
2,10uH,INDUCTORNRX3015,NRX3015,"L5, L6",A very specific inductor,,TAIYO YUDEN,NR3015T100M
1,PUI_SMT-0440-T-2-R,PUI_SMT-0440-T-2-R,SMT-0440-T-2-R,LS1,,668-SMT-0440-T-2-RTR-ND,,SMT-0440-T-2-R
