Description	ID	Manufacturer	Manufacturer Part Number	Supplier	Supplier Part Number	Reference Designators	Line Quantity	Order Quantity	Unit Price	Order Price	Legacy ID	Mounting Type	Datasheet 1	Datasheet 2	Datasheet 3	Datasheet 4	Datasheet 5	Datasheet 6	Datasheet 7	Datasheet 8	Datasheet 9	Datasheet 10	Datasheet 11	Datasheet 12	Datasheet 13	Datasheet 14	Datasheet 15	Datasheet 16	Datasheet 17	Datasheet 18	Datasheet 19	Datasheet 20	Datasheet 21	Datasheet 22	Datasheet 23	Datasheet 24	Datasheet 25	Datasheet 26	Datasheet 27	Datasheet 28	Datasheet 29	Datasheet 30	Datasheet 31
Crystal 32MHz ±10ppm (Tol) ±20ppm (Stability) 6pF FUND 100Ohm 4-Pin SMD T/R	ABRACON/ABM12W-32.0000MHZ-6-D1X-T3	Abracon	ABM12W-32.0000MHZ-6-D1X-T3	Mouser	815-12W32-6D1XT	X1	1	16	0.8748	13.9968		Surface mount																															
Chip Antenna Linear Single Band 50Ohm 8.5GHz 4.5dB Surface Mount T/R	ABRACON/ACR0301U	Abracon	ACR0301U	Newark	90AJ5341	A1,A2,A3	3	40	1.0920	43.6800		Surface mount																															
Ceramic Antenna, 2.47Ghz, 50 Ohm, 3W Rohs Compliant: Yes |Abracon AMCA72-2R470G-S1F-T4	ABRACON/AMCA72-2R470G-S1F-T4	Abracon	AMCA72-2R470G-S1F-T4	Mouser	815-CA722R470GS1FT4	A4	1	22	0.5388	11.8536		Surface mount	http://datasheet.octopart.com/AMCA72-2R470G-S1F-T4-Abracon-datasheet-137316386.pdf																														
Apollo4 Blue Plus, M4 192MHz, BLE5.1, 2MB MRAM, 2.75MB SRAM, MIPI, I2S, BGA	AM13/AMA4B2KP-KBR	Ambiq Micro	AMA4B2KP-KBR	Mouser	222-AMA4B2KP-KBR	U1	1	12	9.6120	115.3440		Surface mount																															
Flash Memory NAND Flash 8Gbit 1.8V 8bit ECC 4096 Block 8-Pin LGA	AM3/AS5F18G04SND-10LIN	Alliance Memory	AS5F18G04SND-10LIN	Newark	82AK3835	U8	1	12	14.2080	170.4960		Surface mount																															
Cap Ceramic 3.3pF 250V C0G 0.1pF Pad SMD 0805 125C T/R	AVX/600F3R3BT250XT	AVX	600F3R3BT250XT	Mouser	581-600F3R3BT	C3,C4	2	28	0.6108	17.1024		Surface mount																															
CM 0603 (1608Metric) ceramic capacitor 0.063Lx0.031W 1.60mmx0.80mm X5R ±20% 10muF	AVX/CM105X5R106M25AT	AVX	CM105X5R106M25AT			C54,C55,C53,C56,C57	5	100	0.3720	37.2000		Surface mount																															
Accelrometer/gyro SMD	CEVA/BNO086	CEVA	BNO086	Digi-Key	1888-BNO086CT-ND	U6	1	12	16.0044	192.0528		Surface mount																															
Rectifier Diode Switching 90V 0.1A 4ns 2-Pin SOD-923F T/R	COMCHIP/CDSQR400B-HF	Comchip	CDSQR400B-HF	Mouser	750-CDSQR400B-HF	D4	1	100	0.1044	10.4400		Surface mount																															
Trans Mosfet N-ch 20V 0.75A 3-PIN Dfn T/r / Mosfet N-ch 20V 750MA DFN1006H4	DIODES/DMN2400UFB4-7	Diodes Inc.	DMN2400UFB4-7	Digi-Key	DMN2400UFB4-7DICT-ND	Q2	1	133	0.0843	11.2119		Surface mount																															
