# #                Columns  are     formatted  as      (channel,  antenna)
# # Node ID        (0, 0)   (0, 1)  (0, 2)     (1, 0)  (1, 1)     (1, 2)    (2, 0)  (2, 1)  (2, 2)
c0:98:e5:42:00:01  32970    32818   32912      32937   32814      32921     32915   32809   32996
c0:98:e5:42:00:02  32920    32799   32912      32919   32836      32890     32897   32790   32820
c0:98:e5:42:00:03  32923    32808   32912      32931   32836      32917     32914   32809   32906
c0:98:e5:42:00:04  32947    32819   32913      32928   32836      32928     32950   32821   32979
c0:98:e5:42:00:05  32923    32806   32904      32946   32812      32908     32904   32815   32936
c0:98:e5:42:00:06  32922    32814   32905      32926   32838      32906     32947   32779   32889
c0:98:e5:42:00:07  32928    32818   32905      32925   32838      32926     32895   32813   32884
c0:98:e5:42:00:08  32911    32791   32896      32920   32825      32895     32884   32790   32906
c0:98:e5:42:00:09  32904    32798   32915      32907   32806      32906     32886   32809   32886
c0:98:e5:42:00:0a  32938    32813   32909      32954   32845      32917     32950   32806   32908
c0:98:e5:42:00:0b  32952    32833   32918      32938   32848      32924     32970   32821   32915
c0:98:e5:42:00:0c  32942    32798   32919      32972   32837      32938     32908   32807   32926
c0:98:e5:42:00:0d  32918    32807   32908      32918   32827      32921     32891   32811   32887
c0:98:e5:42:00:0e  32913    32783   32919      32941   32804      32902     32914   32804   32900
c0:98:e5:42:00:0f  32983    32839   32940      32969   32862      32903     32945   32813   32915
c0:98:e5:42:00:10  32917    32808   32899      32931   32832      32929     32919   32803   32905
c0:98:e5:42:00:20  33084    32814   32966      32915   32838      32888     32933   32830   32919
c0:98:e5:42:00:21  32993    32827   32932      32961   32883      33022     32963   32829   32925
c0:98:e5:42:00:22  32923    32808   32912      32931   32836      32917     32914   32809   32906
c0:98:e5:42:00:23  32923    32808   32912      32931   32836      32917     32914   32809   32906
c0:98:e5:42:00:24  32923    32808   32912      32931   32836      32917     32914   32809   32906
c0:98:e5:42:00:25  32882    32907   32923      32986   32785      32886     32945   32826   32884
c0:98:e5:42:00:26  32975    32872   32910      32930   32744      32910     32999   32855   32943
c0:98:e5:42:00:27  33072    32846   33084      32956   32939      33012     32979   32815   32918
c0:98:e5:42:00:28  33023    32789   32937      32929   32872      32916     32839   32753   32866
c0:98:e5:42:00:29  33119    32906   32981      32921   32891      32896     32876   32808   32932
c0:98:e5:42:00:2a  32864    32846   32924      32955   32921      33061     32975   32832   32921
c0:98:e5:42:00:2b  33018    32832   32971      32916   32832      32945     32954   32789   32873
c0:98:e5:42:00:2c  32882    32843   33061      32945   32887      33011     32996   32909   33022
c0:98:e5:42:00:2d  33092    32897   32915      32978   32822      32852     32885   32868   32945
c0:98:e5:42:00:2e  32923    32808   32912      32931   32836      32917     32914   32809   32906
c0:98:e5:42:00:2f  32923    32808   32912      32931   32836      32917     32914   32809   32906
c0:98:e5:42:00:ff  32923    32808   32912      32931   32836      32917     32914   32809   32906
