==================================================
Training Data:	|	Start	 End	 Label
==================================================
Window 1:	|	2 	 6 	 Close-by
Window 2:	|	3 	 7 	 Close-by
Window 3:	|	4 	 8 	 Close-by
Window 4:	|	5 	 9 	 Close-by
Window 5:	|	6 	 10 	 Close-by
Window 6:	|	7 	 11 	 Close-by
Window 7:	|	8 	 12 	 Close-by
Window 8:	|	9 	 13 	 Close-by
Window 9:	|	10 	 14 	 Close-by
Window 10:	|	11 	 15 	 Close-by
Window 11:	|	12 	 16 	 Close-by
Window 12:	|	13 	 17 	 Close-by
Window 13:	|	14 	 18 	 Close-by
Window 14:	|	15 	 19 	 Close-by
Window 15:	|	16 	 20 	 Close-by
Window 16:	|	17 	 21 	 Close-by
Window 17:	|	18 	 22 	 Close-by
Window 18:	|	19 	 23 	 Close-by
Window 19:	|	20 	 24 	 Close-by
Window 20:	|	21 	 25 	 Close-by
Window 21:	|	22 	 26 	 Close-by
Window 22:	|	23 	 27 	 Close-by
Window 23:	|	24 	 28 	 Close-by
Window 24:	|	25 	 29 	 Close-by
Window 25:	|	26 	 30 	 Close-by
Window 26:	|	27 	 31 	 Close-by
Window 27:	|	28 	 32 	 Close-by
Window 28:	|	29 	 33 	 Close-by
Window 29:	|	30 	 34 	 Close-by
Window 30:	|	31 	 35 	 Close-by
Window 31:	|	32 	 36 	 Close-by
Window 32:	|	33 	 37 	 Close-by
Window 33:	|	34 	 38 	 Close-by
Window 34:	|	35 	 39 	 Close-by
Window 35:	|	36 	 40 	 Close-by
Window 36:	|	37 	 41 	 Close-by
Window 37:	|	38 	 42 	 Close-by
Window 38:	|	39 	 43 	 Close-by
Window 39:	|	40 	 44 	 Close-by
Window 40:	|	41 	 45 	 Close-by
Window 41:	|	42 	 46 	 Close-by
Window 42:	|	43 	 47 	 Close-by
Window 43:	|	44 	 48 	 Close-by
Window 44:	|	45 	 49 	 Close-by
Window 45:	|	46 	 50 	 Close-by
Window 46:	|	47 	 51 	 Close-by
Window 47:	|	48 	 52 	 Close-by
Window 48:	|	49 	 53 	 Close-by
Window 49:	|	50 	 54 	 Close-by
Window 50:	|	51 	 55 	 Close-by
Window 51:	|	52 	 56 	 Close-by
Window 52:	|	53 	 57 	 Close-by
Window 53:	|	54 	 58 	 Close-by
Window 54:	|	55 	 59 	 Close-by
Window 55:	|	56 	 60 	 Close-by
Window 56:	|	57 	 61 	 Close-by
Window 57:	|	58 	 62 	 Close-by
Window 58:	|	59 	 63 	 Close-by
Window 59:	|	60 	 64 	 Close-by
Window 60:	|	61 	 65 	 Close-by
Window 61:	|	62 	 66 	 Close-by
Window 62:	|	63 	 67 	 Close-by
Window 63:	|	64 	 68 	 Close-by
Window 64:	|	65 	 69 	 Close-by
Window 65:	|	66 	 70 	 Close-by
Window 66:	|	67 	 71 	 Close-by
Window 67:	|	68 	 72 	 Close-by
Window 68:	|	69 	 73 	 Close-by
Window 69:	|	70 	 74 	 Close-by
Window 70:	|	71 	 75 	 Close-by
Window 71:	|	72 	 76 	 Close-by
Window 72:	|	73 	 77 	 Leaving room
Window 73:	|	74 	 78 	 Leaving room
Window 74:	|	75 	 79 	 Leaving room
Window 75:	|	76 	 80 	 Leaving room
Window 76:	|	77 	 81 	 Leaving room
Window 77:	|	78 	 82 	 Leaving room
Window 78:	|	79 	 83 	 Leaving room
Window 79:	|	80 	 84 	 Leaving room
Window 80:	|	81 	 85 	 Leaving room
Window 81:	|	82 	 86 	 Passing by
Window 82:	|	83 	 87 	 Passing by
Window 83:	|	84 	 88 	 Passing by
Window 84:	|	85 	 89 	 Passing by
