==================================================
Training Data:	|	Start	 End	 Label
==================================================
Window 1:	|	1614990067 	 1614990068 	 Pass By
Window 2:	|	1614990087 	 1614990088 	 Pass By
Window 3:	|	1614990088 	 1614990089 	 Close By
Window 4:	|	1614990089 	 1614990090 	 Close By
Window 5:	|	1614990090 	 1614990091 	 Close By
Window 6:	|	1614990091 	 1614990092 	 Close By
Window 7:	|	1614990092 	 1614990093 	 Close By
Window 8:	|	1614990093 	 1614990094 	 Close By
Window 9:	|	1614990094 	 1614990095 	 Close By
Window 10:	|	1614990095 	 1614990096 	 Close By
Window 11:	|	1614990096 	 1614990097 	 Close By
Window 12:	|	1614990097 	 1614990098 	 Close By
Window 13:	|	1614990098 	 1614990099 	 Close By
Window 14:	|	1614990099 	 1614990100 	 Close By
Window 15:	|	1614990100 	 1614990101 	 Close By
Window 16:	|	1614990101 	 1614990102 	 Close By
Window 17:	|	1614990102 	 1614990103 	 Close By
Window 18:	|	1614990103 	 1614990104 	 Close By
Window 19:	|	1614990104 	 1614990105 	 Close By
Window 20:	|	1614990105 	 1614990106 	 Close By
Window 21:	|	1614990106 	 1614990107 	 Close By
Window 22:	|	1614990107 	 1614990108 	 Close By
Window 23:	|	1614990110 	 1614990111 	 Close By
Window 24:	|	1614990111 	 1614990112 	 Close By
Window 25:	|	1614990112 	 1614990113 	 Close By
Window 26:	|	1614990113 	 1614990114 	 Close By
Window 27:	|	1614990114 	 1614990115 	 Close By
Window 28:	|	1614990132 	 1614990133 	 Close By
Window 29:	|	1614990133 	 1614990134 	 Close By
Window 30:	|	1614990134 	 1614990135 	 Close By
Window 31:	|	1614990135 	 1614990136 	 Close By
Window 32:	|	1614990136 	 1614990137 	 Close By
Window 33:	|	1614990172 	 1614990173 	 Close By
Window 34:	|	1614990173 	 1614990174 	 Close By
Window 35:	|	1614990174 	 1614990175 	 Close By
Window 36:	|	1614990175 	 1614990176 	 Close By
Window 37:	|	1614990176 	 1614990177 	 Close By
Window 38:	|	1614990177 	 1614990178 	 Close By
Window 39:	|	1614990198 	 1614990199 	 Out of Range
Window 40:	|	1614990199 	 1614990200 	 Out of Range
Window 41:	|	1614990200 	 1614990201 	 Out of Range
Window 42:	|	1614990201 	 1614990202 	 Out of Range
Window 43:	|	1614990202 	 1614990203 	 Out of Range
