Pass By,1614991284,1614991288
Close By,1614991289,1614991292
Leaving Room,1614991293,1614991301
Entering Room,1614991302,1614991306
Pass By,1614991307,1614991308
Entering Room,1614991309,1614991316
Close By,1614991317,1614991326
Leaving Room,1614991327,1614991331
Entering Room,1614991332,1614991335
Close By,1614991336,1614991379
Leaving Room,1614991380,1614991386
Entering Room,1614991387,1614991389
Close By,1614991390,1614991414
Leaving Room,1614991415,1614991417
Entering Room,1614991418,1614991422
Close By,1614991423,1614991474
Entering Room,1614991475,1614991478
Close By,1614991479,1614991907
Leaving Room,1614991908,1614991914
Undefined,1614991915,1614991934
Entering Room,1614991935,1614991944
Pass By,161499191945,1614991947
Close By,1614991948,161499191964
Leaving Room,1614991965,1614991968
Undefined,1614991969,1614991980
Entering Room,1614991981,1614991983
Pass By,1614991984,1614991986
Entering Room,1614991987,1614991990
Close By,1614991991,1614991995
Pass By,1614991996,1614991998
Close By,1614991999,1614992005
