Format Version,1.23,Take Name,1.862v_take2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-04-03 12.30.02.756 AM,Total Frames in Take,43235,Total Exported Frames,43235,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3510,Unlabeled 3510,Unlabeled 3510,Unlabeled 3511,Unlabeled 3511,Unlabeled 3511,Unlabeled 3512,Unlabeled 3512,Unlabeled 3512,Unlabeled 3513,Unlabeled 3513,Unlabeled 3513,Unlabeled 3514,Unlabeled 3514,Unlabeled 3514
,ID,"D8AB0","D8AB0","D8AB0","D8AD0","D8AD0","D8AD0","D8B40","D8B40","D8B40","D8B50","D8B50","D8B50","D8B60","D8B60","D8B60"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.116641,0.059907,-0.494860,0.482969,0.065303,-0.612542,,,,,,,,,
1,0.008333,0.116705,0.059939,-0.494945,0.482732,0.065200,-0.612921,,,,,,,,,
2,0.016667,0.116657,0.059818,-0.494989,0.482699,0.065100,-0.612972,,,,,,,,,
3,0.025000,0.116657,0.059816,-0.494942,0.482926,0.065228,-0.612651,,,,,,,,,
4,0.033333,0.116686,0.059973,-0.494887,0.482876,0.065310,-0.612670,,,,,,,,,
5,0.041667,0.116694,0.060020,-0.494949,0.482882,0.065313,-0.612649,,,,,,,,,
6,0.050000,0.116664,0.059900,-0.494940,0.482960,0.065302,-0.612555,,,,,,,,,
7,0.058333,0.116629,0.059882,-0.494941,0.482692,0.065154,-0.612893,,,,,,,,,
8,0.066667,0.116651,0.059920,-0.494870,0.482693,0.065153,-0.612884,,,,,,,,,
9,0.075000,0.116665,0.059903,-0.494928,0.482945,0.065294,-0.612578,,,,,,,,,
10,0.083333,0.116652,0.059879,-0.494942,0.482865,0.065231,-0.612748,,,,,,,,,
11,0.091667,0.116661,0.059931,-0.494919,0.482877,0.065287,-0.612703,,,,,,,,,
12,0.100000,0.116670,0.059966,-0.494890,0.482962,0.065351,-0.612527,,,,,,,,,
13,0.108333,0.116659,0.059950,-0.494941,0.482718,0.065211,-0.612908,,,,,,,,,
14,0.116667,0.116656,0.059865,-0.494996,0.482686,0.065119,-0.612977,,,,,,,,,
15,0.125000,0.116667,0.059900,-0.494932,0.482969,0.065284,-0.612576,,,,,,,,,
16,0.133333,0.116656,0.059865,-0.494920,0.482852,0.065250,-0.612687,,,,,,,,,
17,0.141667,0.116628,0.059865,-0.494882,0.482846,0.065236,-0.612711,,,,,,,,,
18,0.150000,0.116661,0.059920,-0.494929,0.482938,0.065304,-0.612579,,,,,,,,,
19,0.158333,0.116652,0.059984,-0.494853,0.483016,0.065382,-0.612434,,,,,,,,,
20,0.166667,0.116644,0.059923,-0.494904,0.482694,0.065173,-0.612910,,,,,,,,,
21,0.175000,0.116659,0.059910,-0.494950,0.482977,0.065284,-0.612587,,,,,,,,,
22,0.183333,0.116652,0.059864,-0.494924,0.482873,0.065232,-0.612706,,,,,,,,,
23,0.191667,0.116662,0.059854,-0.494928,0.482862,0.065211,-0.612719,,,,,,,,,
24,0.200000,0.116676,0.059922,-0.494918,0.482941,0.065286,-0.612582,,,,,,,,,
25,0.208333,0.116673,0.059954,-0.494925,0.482714,0.065214,-0.612878,,,,,,,,,
26,0.216667,0.116650,0.059932,-0.494937,0.482702,0.065196,-0.612902,,,,,,,,,
27,0.225000,0.116657,0.059946,-0.494917,0.482963,0.065318,-0.612511,,,,,,,,,
28,0.233333,0.116649,0.059902,-0.494913,0.482852,0.065249,-0.612671,,,,,,,,,
29,0.241667,0.116667,0.059877,-0.494975,0.482853,0.065234,-0.612736,,,,,,,,,
30,0.250000,0.116652,0.059873,-0.494995,0.482933,0.065254,-0.612631,,,,,,,,,
31,0.258333,0.116649,0.059917,-0.494835,0.483026,0.065332,-0.612469,,,,,,,,,
32,0.266667,0.116653,0.059960,-0.494818,0.482748,0.065247,-0.612850,,,,,,,,,
33,0.275000,0.116676,0.059947,-0.494918,0.483000,0.065330,-0.612537,,,,,,,,,
34,0.283333,0.116645,0.059895,-0.494949,0.482888,0.065257,-0.612686,,,,,,,,,
35,0.291667,0.116675,0.059917,-0.494936,0.482887,0.065274,-0.612699,,,,,,,,,
36,0.300000,0.116668,0.059844,-0.494949,0.482918,0.065253,-0.612614,,,,,,,,,
37,0.308333,0.116651,0.059837,-0.494966,0.482681,0.065056,-0.612960,,,,,,,,,
38,0.316667,0.116677,0.059924,-0.494902,0.482698,0.065178,-0.612875,,,,,,,,,
39,0.325000,0.116688,0.060008,-0.494878,0.483005,0.065392,-0.612465,,,,,,,,,
40,0.333333,0.116659,0.059952,-0.494836,0.482882,0.065297,-0.612640,,,,,,,,,
41,0.341667,0.116642,0.059896,-0.494991,0.482858,0.065261,-0.612731,,,,,,,,,
42,0.350000,0.116653,0.059887,-0.494901,0.482941,0.065253,-0.612631,,,,,,,,,
43,0.358333,0.116656,0.059879,-0.494920,0.482707,0.065149,-0.612902,,,,,,,,,
44,0.366667,0.116659,0.059869,-0.494952,0.482707,0.065144,-0.612938,,,,,,,,,
45,0.375000,0.116604,0.059901,-0.494874,0.482991,0.065322,-0.612521,,,,,,,,,
46,0.383333,0.116648,0.059962,-0.494914,0.482882,0.065299,-0.612614,,,,,,,,,
47,0.391667,0.116651,0.059974,-0.494910,0.482855,0.065294,-0.612679,,,,,,,,,
48,0.400000,0.116680,0.059934,-0.494965,0.482917,0.065293,-0.612643,,,,,,,,,
49,0.408333,0.116653,0.059858,-0.494883,0.482675,0.065114,-0.612940,,,,,,,,,
50,0.416667,0.116656,0.059811,-0.494873,0.482678,0.065082,-0.612963,,,,,,,,,
51,0.425000,0.116647,0.059849,-0.494859,0.483012,0.065296,-0.612530,,,,,,,,,
52,0.433333,0.116698,0.059959,-0.494888,0.482929,0.065301,-0.612632,,,,,,,,,
53,0.441667,0.116688,0.059999,-0.494896,0.482896,0.065325,-0.612663,,,,,,,,,
54,0.450000,0.116651,0.059917,-0.494918,0.482920,0.065308,-0.612617,,,,,,,,,
55,0.458333,0.116656,0.059889,-0.494910,0.483010,0.065299,-0.612493,,,,,,,,,
56,0.466667,0.116653,0.059908,-0.494872,0.482722,0.065159,-0.612906,,,,,,,,,
57,0.475000,0.116663,0.059924,-0.494909,0.483009,0.065320,-0.612532,,,,,,,,,
58,0.483333,0.116635,0.059870,-0.494878,0.482886,0.065240,-0.612666,,,,,,,,,
59,0.491667,0.116648,0.059960,-0.494928,0.482837,0.065263,-0.612691,,,,,,,,,
60,0.500000,0.116640,0.059976,-0.494845,0.482900,0.065311,-0.612630,,,,,,,,,
61,0.508333,0.116638,0.059942,-0.494908,0.483015,0.065337,-0.612503,,,,,,,,,
62,0.516667,0.116677,0.059912,-0.494931,0.482709,0.065154,-0.612908,,,,,,,,,
63,0.525000,0.116680,0.059874,-0.494897,0.483033,0.065343,-0.612469,,,,,,,,,
64,0.533333,0.116651,0.059841,-0.494856,0.482939,0.065233,-0.612678,,,,,,,,,
65,0.541667,0.116675,0.059879,-0.494955,0.482855,0.065235,-0.612747,,,,,,,,,
66,0.550000,0.116679,0.059957,-0.494881,0.482891,0.065303,-0.612643,,,,,,,,,
67,0.558333,0.116683,0.059966,-0.494834,0.482997,0.065362,-0.612479,,,,,,,,,
68,0.566667,0.116642,0.059949,-0.494911,0.482705,0.065176,-0.612902,,,,,,,,,
69,0.575000,0.116657,0.059874,-0.494938,0.482684,0.065146,-0.612921,,,,,,,,,
70,0.583333,0.116665,0.059876,-0.494929,0.482922,0.065270,-0.612655,,,,,,,,,
71,0.591667,0.116664,0.059870,-0.494933,0.482829,0.065207,-0.612755,,,,,,,,,
72,0.600000,0.116659,0.059870,-0.494951,0.482868,0.065242,-0.612713,,,,,,,,,
73,0.608333,0.116681,0.059952,-0.494882,0.483018,0.065361,-0.612496,,,,,,,,,
74,0.616667,0.116657,0.059985,-0.494887,0.482733,0.065255,-0.612843,,,,,,,,,
75,0.625000,0.116647,0.059931,-0.494944,0.482701,0.065179,-0.612924,,,,,,,,,
76,0.633333,0.116646,0.059922,-0.494985,0.482919,0.065288,-0.612649,,,,,,,,,
77,0.641667,0.116662,0.059943,-0.494939,0.482852,0.065280,-0.612722,,,,,,,,,
78,0.650000,0.116656,0.059853,-0.494865,0.482841,0.065222,-0.612712,,,,,,,,,
79,0.658333,0.116640,0.059835,-0.494928,0.482941,0.065263,-0.612566,,,,,,,,,
80,0.666667,0.116677,0.059951,-0.494915,0.482711,0.065192,-0.612866,,,,,,,,,
81,0.675000,0.116667,0.059996,-0.494895,0.482737,0.065231,-0.612859,,,,,,,,,
82,0.683333,0.116646,0.059870,-0.494892,0.482954,0.065280,-0.612589,,,,,,,,,
83,0.691667,0.116646,0.059860,-0.494891,0.482851,0.065223,-0.612746,,,,,,,,,
84,0.700000,0.116677,0.059891,-0.494958,0.482868,0.065250,-0.612736,,,,,,,,,
85,0.708333,0.116663,0.059931,-0.494903,0.482978,0.065312,-0.612585,,,,,,,,,
86,0.716667,0.116651,0.059897,-0.494836,0.482715,0.065174,-0.612892,,,,,,,,,
87,0.725000,0.116677,0.059969,-0.494910,0.482717,0.065211,-0.612870,,,,,,,,,
88,0.733333,0.116639,0.059961,-0.494831,0.482953,0.065353,-0.612533,,,,,,,,,
89,0.741667,0.116613,0.059988,-0.494930,0.482827,0.065284,-0.612704,,,,,,,,,
90,0.750000,0.116653,0.059927,-0.494945,0.482853,0.065270,-0.612707,,,,,,,,,
91,0.758333,0.116648,0.059873,-0.494876,0.482953,0.065262,-0.612596,,,,,,,,,
92,0.766667,0.116640,0.059816,-0.494862,0.482692,0.065115,-0.612941,,,,,,,,,
93,0.775000,0.116672,0.059936,-0.494950,0.482721,0.065181,-0.612908,,,,,,,,,
94,0.783333,0.116684,0.059963,-0.494914,0.482986,0.065341,-0.612568,,,,,,,,,
95,0.791667,0.116641,0.059890,-0.494895,0.482870,0.065265,-0.612701,,,,,,,,,
96,0.800000,0.116640,0.059928,-0.494869,0.482848,0.065281,-0.612718,,,,,,,,,
97,0.808333,0.116696,0.059931,-0.494943,0.482946,0.065287,-0.612580,,,,,,,,,
98,0.816667,0.116675,0.059848,-0.494936,0.482699,0.065121,-0.612919,,,,,,,,,
99,0.825000,0.116648,0.059828,-0.494952,0.482673,0.065099,-0.612933,,,,,,,,,
100,0.833333,0.116647,0.059912,-0.494831,0.482986,0.065325,-0.612519,,,,,,,,,
101,0.841667,0.116672,0.060019,-0.494827,0.482870,0.065342,-0.612637,,,,,,,,,
102,0.850000,0.116662,0.059999,-0.494958,0.482852,0.065307,-0.612715,,,,,,,,,
103,0.858333,0.116641,0.059865,-0.494932,0.482928,0.065265,-0.612621,,,,,,,,,
104,0.866667,0.116635,0.059848,-0.494849,0.482701,0.065118,-0.612936,,,,,,,,,
105,0.875000,0.116675,0.059930,-0.494893,0.482712,0.065164,-0.612932,,,,,,,,,
106,0.883333,0.116674,0.059897,-0.494938,0.482981,0.065288,-0.612551,,,,,,,,,
107,0.891667,0.116668,0.059872,-0.494881,0.482870,0.065221,-0.612675,,,,,,,,,
108,0.900000,0.116668,0.059990,-0.494832,0.482851,0.065312,-0.612691,,,,,,,,,
109,0.908333,0.116662,0.059984,-0.494953,0.482922,0.065304,-0.612584,,,,,,,,,
110,0.916667,0.116663,0.059913,-0.494874,0.482690,0.065169,-0.612901,,,,,,,,,
111,0.925000,0.116669,0.059896,-0.494827,0.482710,0.065163,-0.612897,,,,,,,,,
112,0.933333,0.116668,0.059835,-0.494927,0.482999,0.065293,-0.612536,,,,,,,,,
113,0.941667,0.116656,0.059871,-0.494930,0.482890,0.065235,-0.612681,,,,,,,,,
114,0.950000,0.116664,0.059960,-0.494823,0.482871,0.065299,-0.612713,,,,,,,,,
115,0.958333,0.116689,0.059979,-0.494871,0.482952,0.065320,-0.612592,,,,,,,,,
116,0.966667,0.116648,0.059884,-0.494891,0.482718,0.065139,-0.612878,,,,,,,,,
117,0.975000,0.116642,0.059891,-0.494914,0.482704,0.065139,-0.612956,,,,,,,,,
118,0.983333,0.116646,0.059929,-0.494963,0.483012,0.065312,-0.612542,,,,,,,,,
119,0.991667,0.116665,0.059867,-0.494922,0.482885,0.065250,-0.612640,,,,,,,,,
120,1.000000,0.116669,0.059852,-0.494944,0.482828,0.065232,-0.612756,,,,,,,,,
121,1.008333,0.116664,0.059961,-0.494899,0.482898,0.065306,-0.612666,,,,,,,,,
122,1.016667,0.116673,0.060002,-0.494900,0.483019,0.065393,-0.612441,,,,,,,,,
123,1.025000,0.116644,0.059959,-0.494816,0.482734,0.065227,-0.612841,,,,,,,,,
124,1.033333,0.116668,0.059878,-0.494920,0.483004,0.065275,-0.612520,,,,,,,,,
125,1.041667,0.116661,0.059873,-0.494922,0.482925,0.065253,-0.612662,,,,,,,,,
126,1.050000,0.116664,0.059896,-0.494887,0.482842,0.065257,-0.612756,,,,,,,,,
